"","County","DistrictName","TotalTeacherCount","TotalStudentCount","TeacherToStudentRatio","StudentToTeacherRatio","COUNTYFP","fips","COUNTYN","COUNTYNS","COUNTYNS_TIGER","GEOID_TIGER","GEOID_AFF","mean(StudentToTeacherRatio)"
"85","Klickitat","Goldendale School District",166,2207,0.07522,13.29518,39,53039,20,1529219,1529219,53039,"0500000US53039",9.754542
"86","Grant","Grand Coulee Dam School District",44,713,0.06171,16.20455,25,53025,13,1531924,1531924,53025,"0500000US53025",14.578089
"87","Yakima","Grandview School District",207,3567,0.05803,17.23188,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"88","Yakima","Granger School District",90,1432,0.06285,15.91111,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"89","Snohomish","Granite Falls School District",137,2016,0.06796,14.71533,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"90","Mason","Grapeview School District",14,199,0.07035,14.21429,45,53045,23,1529221,1529221,53045,"0500000US53045",13.9665842857143
"91","Spokane","Great Northern School District",6,38,0.15789,6.33333,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
"92","Clark","Green Mountain School District",12,150,0.08,12.5,11,53011,6,1531820,1531820,53011,"0500000US53011",14.8485255555556
"93","Thurston","Griffin School District",40,617,0.06483,15.425,67,53067,34,1529226,1529226,53067,"0500000US53067",13.461519
"94","Lincoln","Harrington School District",14,126,0.11111,9,43,53043,22,1514052,1514052,53043,"0500000US53043",9.2348425
"95","Yakima","Highland School District",73,1077,0.06778,14.75342,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"96","King","Highline School District",1177,18441,0.06383,15.6678,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"97","Clark","Hockinson School District",128,1868,0.06852,14.59375,11,53011,6,1531820,1531820,53011,"0500000US53011",14.8485255555556
"98","Mason","Hood Canal School District",27,301,0.0897,11.14815,45,53045,23,1529221,1529221,53045,"0500000US53045",13.9665842857143
"99","Grays Harbor","Hoquiam School District",94,1530,0.06144,16.2766,27,53027,14,1531823,1531823,53027,"0500000US53027",12.2227376923077
"100","Ferry","Inchelium School District",21,227,0.09251,10.80952,19,53019,10,1531821,1531821,53019,"0500000US53019",13.463788
"101","Snohomish","Index Elementary School District 63",4,27,0.14815,6.75,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"102","King","Issaquah School District",1344,20204,0.06652,15.03274,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"103","Franklin","Kahlotus School District",11,35,0.31429,3.18182,21,53021,11,1531822,1531822,53021,"0500000US53021",10.4664875
"104","Cowlitz","Kalama School District",65,1021,0.06366,15.70769,15,53015,8,1529156,1529156,53015,"0500000US53015",16.13208
"105","Ferry","Keller School District",3,36,0.08333,12,19,53019,10,1531821,1531821,53019,"0500000US53019",13.463788
"106","Cowlitz","Kelso School District",313,4762,0.06573,15.21406,15,53015,8,1529156,1529156,53015,"0500000US53015",16.13208
"107","Benton","Kennewick School District",1161,18066,0.06426,15.56072,5,53005,3,1513302,1513302,53005,"0500000US53005",15.3736633333333
"108","King","Kent School District",1599,25299,0.0632,15.82176,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"109","Stevens","Kettle Falls School District",61,1104,0.05525,18.09836,65,53065,33,1531930,1531930,53065,"0500000US53065",14.5874133333333
"110","Benton","Kiona-Benton City School District",80,1354,0.05908,16.925,5,53005,3,1513302,1513302,53005,"0500000US53005",15.3736633333333
"111","Kittitas","Kittitas School District",46,637,0.07221,13.84783,37,53037,19,1531926,1531926,53037,"0500000US53037",10.7473716666667
"112","Klickitat","Klickitat School District",12,73,0.16438,6.08333,39,53039,20,1529219,1529219,53039,"0500000US53039",9.754542
"113","Clark","La Center School District",109,1559,0.06992,14.30275,11,53011,6,1531820,1531820,53011,"0500000US53011",14.8485255555556
"114","Skagit","La Conner School District",47,619,0.07593,13.17021,57,53057,29,1531402,1531402,53057,"0500000US53057",14.9896285714286
"115","Whitman","LaCrosse School District",14,80,0.175,5.71429,75,53075,38,1533501,1533501,53075,"0500000US53075",8.74579923076923
"116","Chelan","Lake Chelan School District",88,1269,0.06935,14.42045,7,53007,4,1531932,1531932,53007,"0500000US53007",13.08762
"117","Snohomish","Lake Stevens School District",539,9103,0.05921,16.88868,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"118","King","Lake Washington School District",1984,31143,0.06371,15.69708,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"119","Snohomish","Lakewood School District",151,2487,0.06072,16.4702,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"120","Whitman","Lamont School District",5,41,0.12195,8.2,75,53075,38,1533501,1533501,53075,"0500000US53075",8.74579923076923
"121","Spokane","Liberty School District",35,546,0.0641,15.6,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
"122","Adams","Lind School District",34,188,0.18085,5.52941,1,53001,1,1531601,1531601,53001,"0500000US53001",8.548654
"123","Cowlitz","Longview School District",394,6186,0.06369,15.70051,15,53015,8,1529156,1529156,53015,"0500000US53015",16.13208
"124","Stevens","Loon Lake School District",13,268,0.04851,20.61538,65,53065,33,1531930,1531930,53065,"0500000US53065",14.5874133333333
"125","San Juan","Lopez School District",24,236,0.10169,9.83333,55,53055,28,1531931,1531931,53055,"0500000US53055",9.26436
"126","Klickitat","Lyle School District",17,201,0.08458,11.82353,39,53039,20,1529219,1529219,53039,"0500000US53039",9.754542
"127","Whatcom","Lynden School District",217,3194,0.06794,14.71889,73,53073,37,1529224,1529224,53073,"0500000US53073",14.5090128571429
"128","Yakima","Mabton School District",51,819,0.06227,16.05882,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"129","Douglas","Mansfield School District",12,89,0.13483,7.41667,17,53017,9,1531818,1531818,53017,"0500000US53017",12.5557633333333
"130","Chelan","Manson School District",46,623,0.07384,13.54348,7,53007,4,1531932,1531932,53007,"0500000US53007",13.08762
"131","Mason","Mary M Knight School District",117,2211,0.05292,18.89744,45,53045,23,1529221,1529221,53045,"0500000US53045",13.9665842857143
"132","Stevens","Mary Walker School District",23,419,0.05489,18.21739,65,53065,33,1531930,1531930,53065,"0500000US53065",14.5874133333333
"133","Snohomish","Marysville School District",649,9985,0.065,15.38521,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"134","Grays Harbor","McCleary School District",24,288,0.08333,12,27,53027,14,1531823,1531823,53027,"0500000US53027",12.2227376923077
"135","Spokane","Mead School District",605,10179,0.05944,16.82479,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
"136","Spokane","Medical Lake School District",145,1769,0.08197,12.2,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
"137","King","Mercer Island School District",348,4189,0.08307,12.03736,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"138","Whatcom","Meridian School District",112,1826,0.06134,16.30357,73,53073,37,1529224,1529224,53073,"0500000US53073",14.5090128571429
"139","Okanogan","Methow Valley School District",54,693,0.07792,12.83333,47,53047,24,1531928,1531928,53047,"0500000US53047",16.30294
"140","Skamania","Mill A School District",12,62,0.19355,5.16667,59,53059,30,1529220,1529220,53059,"0500000US53059",10.16667
"141","Snohomish","Monroe School District",332,6195,0.05359,18.65964,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"142","Lewis","Morton School District",24,318,0.07547,13.25,41,53041,21,1531927,1531927,53041,"0500000US53041",13.5884361538462
"143","Grays Harbor","Montesano School District",82,1406,0.05832,17.14634,27,53027,14,1531823,1531823,53027,"0500000US53027",12.2227376923077
"144","Grant","Moses Lake School District",496,8133,0.06099,16.39718,25,53025,13,1531924,1531924,53025,"0500000US53025",14.578089
"145","Lewis","Mossyrock School District",40,542,0.0738,13.55,41,53041,21,1531927,1531927,53041,"0500000US53041",13.5884361538462
"146","Yakima","Mount Adams School District",55,845,0.06509,15.36364,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"147","Whatcom","Mount Baker School District",126,1721,0.07321,13.65873,73,53073,37,1529224,1529224,53073,"0500000US53073",14.5090128571429
"148","Skamania","Mount Pleasant School District",6,67,0.08955,11.16667,59,53059,30,1529220,1529220,53059,"0500000US53059",10.16667
"149","Skagit","Mount Vernon School District",482,6735,0.07157,13.97303,57,53057,29,1531402,1531402,53057,"0500000US53057",14.9896285714286
"150","Snohomish","Mukilteo School District",1035,15123,0.06844,14.61159,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"151","Yakima","Naches Valley School District",83,1221,0.06798,14.71084,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"152","Lewis","Napavine School District",58,786,0.07379,13.55172,41,53041,21,1531927,1531927,53041,"0500000US53041",13.5884361538462
"153","Pacific","Naselle-Grays River Valley School District",37,363,0.10193,9.81081,49,53049,25,1513274,1513274,53049,"0500000US53049",11.7461716666667
"154","Okanogan","Nespelem School District",10,134,0.07463,13.4,47,53047,24,1531928,1531928,53047,"0500000US53047",16.30294
"155","Pend Oreille","Newport School District",76,915,0.08306,12.03947,51,53051,26,1529157,1529157,53051,"0500000US53051",11.7826533333333
"156","Spokane","Nine Mile Falls School District",90,1321,0.06813,14.67778,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
"157","Whatcom","Nooksack Valley School District",139,1881,0.0739,13.53237,73,53073,37,1529224,1529224,53073,"0500000US53073",14.5090128571429
"158","Grays Harbor","North Beach School District No. 64",59,742,0.07951,12.57627,27,53027,14,1531823,1531823,53027,"0500000US53027",12.2227376923077
"159","Franklin","North Franklin School District",129,2050,0.06293,15.89147,21,53021,11,1531822,1531822,53021,"0500000US53021",10.4664875
"160","Kitsap","North Kitsap School District",341,5445,0.06263,15.96774,35,53035,18,1529223,1529223,53035,"0500000US53035",13.7001785714286
"161","Mason","North Mason School District",178,2210,0.08054,12.41573,45,53045,23,1529221,1529221,53045,"0500000US53045",13.9665842857143
"162","Pacific","North River School District",11,70,0.15714,6.36364,49,53049,25,1513274,1513274,53049,"0500000US53049",11.7461716666667
"163","Thurston","North Thurston Public Schools",889,14517,0.06124,16.32958,67,53067,34,1529226,1529226,53067,"0500000US53067",13.461519
"164","Stevens","Northport School District",21,272,0.07721,12.95238,65,53065,33,1531930,1531930,53065,"0500000US53065",14.5874133333333
"165","King","Northshore School District",1409,23145,0.06088,16.42654,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"166","Island","Oak Harbor School District",400,5649,0.07081,14.1225,29,53029,15,1513272,1513272,53029,"0500000US53029",14.63552
"167","Whitman","Oakesdale School District",13,140,0.09286,10.76923,75,53075,38,1533501,1533501,53075,"0500000US53075",8.74579923076923
